sku,finder_path
UPP-MIC-R-PST-STBMB,Sprinter|Transit|ProMaster
sku-47361383268588,Sprinter|Transit|ProMaster
sku-47361383301356,Sprinter|Transit|ProMaster
sku-47361383334124,Sprinter|Transit|ProMaster
UPR-PNF-ARS-SPR-40,Sprinter|Transit|ProMaster
UPR-PNF-ARS-PST-40,Sprinter|Transit|ProMaster
UPR-PNF-ARS-TRN-40,Sprinter|Transit|ProMaster
UPR-PNF-ARS-SPR-48,Sprinter|Transit|ProMaster
UPR-PNF-ARS-PST-48,Sprinter|Transit|ProMaster
UPR-PNF-ARS-TRN-48,Sprinter|Transit|ProMaster
UPR-PNF-ARS-SPR-60,Sprinter|Transit|ProMaster
UPR-PNF-ARS-PST-60,Sprinter|Transit|ProMaster
UPR-PNF-ARS-TRN-60,Sprinter|Transit|ProMaster
sku-47361383366892,Sprinter|Transit|ProMaster
sku-47361383399660,Sprinter|Transit|ProMaster
sku-47361383432428,Sprinter|Transit|ProMaster
UPR-WHT-ARS-SPR-40,Sprinter|Transit|ProMaster
UPR-WHT-ARS-PST-40,Sprinter|Transit|ProMaster
UPR-WHT-ARS-TRN-40,Sprinter|Transit|ProMaster
UPR-WHT-ARS-SPR-48,Sprinter|Transit|ProMaster
UPR-WHT-ARS-PST-48,Sprinter|Transit|ProMaster
UPR-WHT-ARS-TRN-48,Sprinter|Transit|ProMaster
UPR-WHT-ARS-SPR-60,Sprinter|Transit|ProMaster
UPR-WHT-ARS-PST-60,Sprinter|Transit|ProMaster
UPR-WHT-ARS-TRN-60,Sprinter|Transit|ProMaster
sku-47361383465196,Sprinter|Transit|ProMaster
sku-47361383497964,Sprinter|Transit|ProMaster
sku-47361383530732,Sprinter|Transit|ProMaster
UPR-BLK-ARS-SPR-40,Sprinter|Transit|ProMaster
UPR-BLK-ARS-PST-40,Sprinter|Transit|ProMaster
UPR-BLK-ARS-TRN-40,Sprinter|Transit|ProMaster
TWNS-76-2,Sprinter
TWNS-76,Sprinter
TB-FRONT-BMP,Transit
sku-50461800366389,Universal
sku-52438497460533,Universal
sku-52438497493301,Universal
sku-50461800431925,Universal
sku-52438497526069,Universal
sku-52438497558837,Universal
sku-50461800464693,Universal
sku-52438497591605,Universal
sku-52438497624373,Universal
sku-50461800595765,Universal
sku-52438497657141,Universal
sku-52438497689909,Universal
sku-47726221459692,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
sku-47726221557996,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
sku-47726221656300,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
sku-47726221754604,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
sku-47726221852908,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
sku-47726221951212,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
sku-47726222049516,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
sku-47726222147820,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
sku-47726222246124,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
sku-47726222344428,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
sku-47726222442732,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
sku-47726222541036,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
sku-47726222639340,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
sku-47726222737644,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
sku-47726222835948,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
sku-47726222934252,"Sprinter>144""|Sprinter>170""|Sprinter>148"" Ext|Sprinter>148""|Transit>144""|Transit>170""|Transit>148"" Ext|Transit>148"""
DTSPCR007-INT-01 Drop Ship,"Sprinter>144""|Sprinter>170"""
DTSPCR007-INT-01 Drop Ship,"Sprinter>144""|Sprinter>170"""
DTSPCR007-INT-01 Drop Ship,"Sprinter>144""|Sprinter>170"""
48799-01 Drop Ship,"Sprinter>144""|Sprinter>170"""
48799-01 Drop Ship,"Sprinter>144""|Sprinter>170"""
48799-01 Drop Ship,"Sprinter>144""|Sprinter>170"""
34799 Drop Ship,"Sprinter>144""|Sprinter>170"""
18856-02 Drop Ship,"Sprinter>144""|Sprinter>170"""
18856-03 Drop Ship,"Sprinter>144""|Sprinter>170"""
91843-01 Drop Ship,"Sprinter>144""|Sprinter>170"""
91843-02 Drop Ship,"Sprinter>144""|Sprinter>170"""
91843-03 Drop Ship,"Sprinter>144""|Sprinter>170"""
66254-01 Drop Ship,"Sprinter>144""|Sprinter>170"""
66254-02 Drop Ship,"Sprinter>144""|Sprinter>170"""
66254-03 Drop Ship,"Sprinter>144""|Sprinter>170"""
48799-01 Drop Ship,"Sprinter>144""|Sprinter>170"""
Drop Ship,"Sprinter>144""|Sprinter>170"""
Drop Ship,"Sprinter>144""|Sprinter>170"""
DTSPCR010-INT-01 Drop Ship,"Sprinter>144""|Sprinter>170"""
DTSPCR010-INT-01 Drop Ship,"Sprinter>144""|Sprinter>170"""
DTSPCR010-INT-01 Drop Ship,"Sprinter>144""|Sprinter>170"""
GCT0151,Transit
GCT0151-1,Transit
GCT0152,Transit
GCT0152-1,Transit
GCT0153,Transit
GCT0153-1,Transit
TWVM-5,Sprinter|Transit
TWVM-6,Sprinter|Transit
TWVM-7,Sprinter|Transit
TWVM-8,Sprinter|Transit
STK-MBDSL,Sprinter
TWNS-07,Sprinter
TWNS-07-2,Sprinter
TWNS-35,Sprinter
TWNS-35-2,Sprinter
TWNS-27,Sprinter
TVM-SCORSTP,Universal
sku-45336028479737,"Transit>130""|Transit>148"""
sku-45336028512505,"Transit>130""|Transit>148"""
A-EXT-SSB-01,Universal
A-T-FIN-LB,Transit
A-T-FIN-EB,Transit
A-T-SBH-LH-ESM2B4,Transit
A-T-SBH-LH-ESASB2,Transit
A-T-SBH-RH-ESM2B4,Transit
A-T-SBH-RH-ESASB2,Transit
A-T-SBH-BL-BL,Transit
A-T-SBH-MO-MO,Transit
sku-44176514547961,Sprinter|Transit
sku-44176822599929,Sprinter|Transit
A-T-FLT-01,Transit
A-T-FLT-02,Transit
A-T-FST-FS,Transit
A-T-FST-FRSTTR,Transit
A-T-PAT-WC-MRLB-FUWACE,Transit
A-T-PAT-WC-MRLB-CEON,Transit
A-T-PAT-WC-HRLB-FUWACE,Transit
A-T-PAT-WC-HRLB-CEON,Transit
A-T-PAT-WC-HREB-FUWACE,Transit
A-T-PAT-WC-HREB-CEON,Transit
A-T-EB-HR-RRK-01,"Transit>148"""
SQ4329947,Transit
SQ4329948,Transit
AVC_T130ST_30G,"Transit>130""|Transit>148"""
AVC_T148ST_30A,"Transit>130""|Transit>148"""
AVC_T148EXT_30D,"Transit>130""|Transit>148"""
A-T-SUP-UNS-FR,Transit
A-T-SUP-UNS-RE,Transit
A-T-SUP-UNS-CE,Transit
A-S-FST-01,Sprinter
A-S-FIS-44-NL,"Sprinter>144"""
sku-48761698648313,"Sprinter>144"""
sku-48544105988345,"Sprinter>144"""
sku-48761698681081,"Sprinter>144"""
A-T-CB-PAT-WL-MR-01,"Transit>148"""
A-T-CB-PAT-WL-HR-01,"Transit>148"""
A-T-CB-WLK-HR-BB,"Transit>148"""
A-T-CB-WLK-HR-FT,"Transit>148"""
A-T-CB-WLK-MR-BB,"Transit>148"""
A-T-CB-WLK-MR-FT,"Transit>148"""
A-T-PAT-FL-LB,"Transit>148"" Ext|Transit>148"""
A-T-PAT-FL-EB,"Transit>148"" Ext|Transit>148"""
A-SUP-WCS-SL,"Transit>130""|Transit>148"""
A-SUP-WCS-CRREON,"Transit>130""|Transit>148"""
A-SUP-WCS-EB,"Transit>130""|Transit>148"""
A-T-LKR-01,Transit
A-T-TBL-OG,Transit
A-T-TBL-LASL,Transit
AVC_T148MR_20E_UL,"Transit>148"""
AVC_T148MR_20E_BB,"Transit>148"""
AVC_T148MR_20F_UL,"Transit>148"""
AVC_T148MR_20F_BB,"Transit>148"""
AVC_T148MR_20G_UL,"Transit>148"""
AVC_T148MR_20G_BB,"Transit>148"""
AVC_T148MR_20H_UL,"Transit>148"""
AVC_T148MR_20H_BB,"Transit>148"""
AVC_T148HR_20A_UL,"Transit>148"""
AVC_T148HR_20A_BB,"Transit>148"""
AVC_T148HR_20B_UL,"Transit>148"""
AVC_T148HR_20B_BB,"Transit>148"""
AVC_T148HR_20C_UL,"Transit>148"""
AVC_T148HR_20C_BB,"Transit>148"""
AVC_T148HR_20D_UL,"Transit>148"""
AVC_T148HR_20D_BB,"Transit>148"""
LM-GENP-TRHQ,"Transit>148"""
LM-IOOP-KEGT,"Transit>148"""
LM-VWKS-UIWT,"Transit>148"""
LM-KWWF-CARN,"Transit>148"""
LM-IAFI-LMSQ,"Transit>148"""
LM-ZILG-JLTF,"Transit>148"""
LM-ILLQ-YUDG,"Transit>148"""
LM-TCBV-DGWY,"Transit>148"""
VNSPD-078,"Sprinter>144"""
VNSPD076,Universal
TVM-ACSRF144-HI,"Sprinter>144"""
TVM-ACSRF144-LO,"Sprinter>144"""
SQ3V2,Sprinter|Transit
10063,Universal
10064,Universal
10065,Universal
10066,Universal
10067,Universal
10068,Universal
10069,Universal
10070,Universal
10071,Universal
10072,Universal
10073,Universal
10074,Universal
10075,Universal
10076,Universal
10077,Universal
10078,Universal
10079,Universal
10070,Transit
10071,Transit
10072,Transit
10073,Transit
10074,Transit
10075,Transit
10076,Transit
10077,Transit
10078,Transit
10079,Transit
10080,Transit
10081,Transit
10082,Transit
10083,Transit
10084,Transit
10085,Transit
10086,Transit
10087,Transit
10088,Transit
10089,Transit
10090,Transit
10091,Transit
10092,Transit
10093,Transit
10094,Transit
10095,Transit
10096,Transit
